,PropertyType,Address,City,State,ZipCode,Price,Beds,Baths,Living_Sq_Ft,Lot_Acres,YearBuilt,YearRenovated,Hoa/Month,Parking,Garage,last_sold_price,ElementarySchool,E.SchoolRating,MiddleSchool,M.schoolRating,HighSchool,H.SchoolRating,Heating,Cooling,WalkableScore,TransitScore,BikeableScore,RedfinEstimate,Status
house_310,Condo/Co-op,1315 A St #211 ,Hayward,CA,94541,419000,2,1,,,1984,1984,457,, 1,,East Avenue Elementary School,4,Bret Harte Middle School,3,Hayward High School,4,,,91,56,69," $419,787", Active
house_311,Single Family Residential,132 Dunfirth Ct ,Hayward,CA,94542,1788000,5,4,,,2018,2018,180,, 3,,Palomares Elementary School,9,Canyon Middle School,7,Castro Valley High School,9,,,1,15,7," $1,781,397", Active
house_312,Townhouse,139 Cypress Loop ,Hayward,CA,94544,699000,3,2,,,2016,2016,265,, 2,,Stonebrae Elementary School,4,Bret Harte Middle School,3,Hayward High School,4,,,71,38,67," $699,911", Active
house_313,Townhouse,139 Cypress Loop ,Hayward,CA,94544,699000,3,2,,,2016,2016,265,, 2,,Stonebrae Elementary School,4,Bret Harte Middle School,3,Hayward High School,4,,,71,38,67," $699,911", Active
house_314,Townhouse,139 Cypress Loop ,Hayward,CA,94544,699000,3,2,,,2016,2016,265,, 2,,Stonebrae Elementary School,4,Bret Harte Middle School,3,Hayward High School,4,,,71,38,67," $699,911", Active
house_315,Single Family Residential,1421 Poppy Ln ,Hayward,CA,94545,835999,3,2,,,2017,2017,227,, 2,,Eden Gardens Elementary School,3,Anthony W. Ochoa Middle School,4,Mount Eden High School,6,,,57,42,49," $828,999", Active
house_316,Multi-Family (2-4 Unit),1424 C St ,Hayward,CA,94541,1199000,5,3,,,—,—,0, 2+,,,East Avenue Elementary School,4,Bret Harte Middle School,3,Hayward High School,4,,,84,51,59," $1,127,523", Active
house_317,Multi-Family (2-4 Unit),1424 C St ,Hayward,CA,94541,1199000,5,3,,,—,—,0, 2+,,,East Avenue Elementary School,4,Bret Harte Middle School,3,Hayward High School,4,,,84,51,59," $1,127,523", Active
house_318,Mobile/Manufactured Home,1473 Avila ,Hayward,CA,94544,239900,3,2,,,1994,—,0,,,,Palma Ceia Elementary School,4,Anthony W. Ochoa Middle School,4,Mount Eden High School,6,,,62,36,52," $233,922", Active
house_319,Mobile/Manufactured Home,1473 Avila ,Hayward,CA,94544,239900,3,2,,,1994,—,0,,,,Palma Ceia Elementary School,4,Anthony W. Ochoa Middle School,4,Mount Eden High School,6,,,62,36,52," $233,922", Active
house_320,Condo/Co-op,1510 E St #35 ,Hayward,CA,94541,338000,1,1,,,1974,1974,445,, 2,,East Avenue Elementary School,4,Bret Harte Middle School,3,Hayward High School,4,,,54,46,26," $331,564", Active
house_321,Condo/Co-op,1510 E St #35 ,Hayward,CA,94541,338000,1,1,,,1974,1974,445,, 2,,East Avenue Elementary School,4,Bret Harte Middle School,3,Hayward High School,4,,,54,46,26," $331,564", Active
house_322,Single Family Residential,1516 Hayden St ,Hayward,CA,94545-2593,1035000,4,3,,,2014,2014,135,, 2,,Eden Gardens Elementary School,3,Anthony W. Ochoa Middle School,4,Mount Eden High School,6,,,58,42,47," $1,036,622", Active
house_323,Single Family Residential,1539 Denton Ave ,Hayward,CA,94545,799000,4,2,,,2018,2018,139,,,,Eden Gardens Elementary School,3,Anthony W. Ochoa Middle School,4,Mount Eden High School,6,,,57,42,46,, Coming Soon
house_324,Single Family Residential,1539 Denton Ave ,Hayward,CA,94545,799000,4,2,,,2018,2018,139,,,,Eden Gardens Elementary School,3,Anthony W. Ochoa Middle School,4,Mount Eden High School,6,,,57,42,46,, Coming Soon
house_325,,,,,,0,,,,,,,0,,,,,,,,,,,,,,,,
house_326,Mobile/Manufactured Home,167 Neptune ,Hayward,CA,94544,199000,2,1,,,—,—,0,,,,Ruus Elementary School,3,Cesar Chavez Middle School,2,Tennyson High School,2,,,78,54,70," $190,191", Active
house_327,Mobile/Manufactured Home,167 Neptune ,Hayward,CA,94544,199000,2,1,,,—,—,0,,,,Ruus Elementary School,3,Cesar Chavez Middle School,2,Tennyson High School,2,,,78,54,70," $190,191", Active
house_328,Vacant Land,1680 E St ,Hayward,CA,94541,149000,—,—,,,—,—,0,,,,East Avenue Elementary School,4,Bret Harte Middle School,3,Hayward High School,4,,,46,37,22," $134,923", Active
house_329,Vacant Land,1680 E St ,Hayward,CA,94541,149000,—,—,,,—,—,0,,,,East Avenue Elementary School,4,Bret Harte Middle School,3,Hayward High School,4,,,46,37,22," $134,923", Active
house_330,Vacant Land,17124 Los Banos St ,Hayward,CA,94541,179900,—,—,,,—,—,0,,,,Dayton Elementary School,4,Edendale Middle School,1,San Lorenzo High School,3,,,47,38,19," $169,187", Active
house_331,Vacant Land,17124 Los Banos St ,Hayward,CA,94541,179900,—,—,,,—,—,0,,,,Dayton Elementary School,4,Edendale Middle School,1,San Lorenzo High School,3,,,47,38,19," $169,187", Active
house_332,Single Family Residential,177 El Dorado Ave ,Hayward,CA,94541,349000,1,1,,,1922,1922,0,,,,Burbank Elementary School,4,Winton Middle School,3,Hayward High School,4,,,67,53,67," $386,853", Active
house_333,Single Family Residential,1836 Osage Ave ,Hayward,CA,94545,710000,3,2,,,1965,1966,0,, 2,,Palma Ceia Elementary School,4,Anthony W. Ochoa Middle School,4,Mount Eden High School,6,,,23,33,53," $746,136", New
house_334,Single Family Residential,1836 Osage Ave ,Hayward,CA,94545,710000,3,2,,,1965,1966,0,, 2,,Palma Ceia Elementary School,4,Anthony W. Ochoa Middle School,4,Mount Eden High School,6,,,23,33,53," $746,136", New
house_335,Single Family Residential,1836 Osage Ave ,Hayward,CA,94545,710000,3,2,,,1965,1966,0,, 2,,Palma Ceia Elementary School,4,Anthony W. Ochoa Middle School,4,Mount Eden High School,6,,,23,33,53," $746,136", New
house_336,Single Family Residential,1976 Wingate Way ,Hayward,CA,94541,985000,4,3,,,2017,2017,0,, 2,,Fairview Elementary School,4,Bret Harte Middle School,3,Hayward High School,4,,,46,40,65," $1,018,978", Active
house_337,,210 Span Ct ,Hayward,CA,94544,759990,2,2,,,,,0,,,,Treeview Elementary,2,Cesar Chavez Middle School,2,Tennyson High School,2,,,60,52,39," $761,059", Active
house_338,,210 Span Ct ,Hayward,CA,94544,759990,2,2,,,,,0,,,,Treeview Elementary,2,Cesar Chavez Middle School,2,Tennyson High School,2,,,60,52,39," $761,059", Active
house_339,Single Family Residential,2107 Parkhurst St ,Hayward,CA,94541,808888,4,2,,,2010,2010,99,, 2,,Burbank Elementary School,4,Winton Middle School,3,Hayward High School,4,,,65,59,62," $823,043", Active
house_340,Single Family Residential,2107 Parkhurst St ,Hayward,CA,94541,808888,4,2,,,2010,2010,99,, 2,,Burbank Elementary School,4,Winton Middle School,3,Hayward High School,4,,,65,59,62," $823,043", Active
house_341,Single Family Residential,2107 Parkhurst St ,Hayward,CA,94541,808888,4,2,,,2010,2010,99,, 2,,Burbank Elementary School,4,Winton Middle School,3,Hayward High School,4,,,65,59,62," $823,043", Active
house_342,Condo/Co-op,21071 Gary Dr #209 ,Hayward,CA,94546,505000,2,2,,,1980,1980,400,,,,Strobridge Elementary School,1,Bret Harte Middle School,3,Hayward High School,4,,,52,40,33," $505,754", New
house_343,Single Family Residential,212 Drummond Dr ,Hayward,CA,94542,1365000,4,3,,,2007,2007,190,, 3,,Stonebrae Elementary School,4,Bret Harte Middle School,3,Hayward High School,4,,,2,18,4," $1,389,058", Active
house_344,Condo/Co-op,21228 Gary Dr #314 ,Hayward,CA,94546,579000,3,2,,,1982,1982,415,, 1,,Strobridge Elementary School,1,Bret Harte Middle School,3,Hayward High School,4,,,49,40,32," $582,765", New
house_345,Condo/Co-op,21228 Gary Dr #314 ,Hayward,CA,94546,579000,3,2,,,1982,1982,415,, 1,,Strobridge Elementary School,1,Bret Harte Middle School,3,Hayward High School,4,,,49,40,32," $582,765", New
house_346,Condo/Co-op,21228 Gary Dr #314 ,Hayward,CA,94546,579000,3,2,,,1982,1982,415,, 1,,Strobridge Elementary School,1,Bret Harte Middle School,3,Hayward High School,4,,,49,40,32," $582,765", New
house_347,Townhouse,2125 Oak Creek Pl ,Hayward,CA,94541,749888,3,2,,,1972,1974,423,, 2,,East Avenue Elementary School,4,Bret Harte Middle School,3,Hayward High School,4,,,31,34,17," $733,638", Active
house_348,Townhouse,2125 Oak Creek Pl ,Hayward,CA,94541,749888,3,2,,,1972,1974,423,, 2,,East Avenue Elementary School,4,Bret Harte Middle School,3,Hayward High School,4,,,31,34,17," $733,638", Active
house_349,Multi-Family (2-4 Unit),21498 Oak St ,HAYWARD,CA,94546,1225000,—,—," 2,692", 0.1694,1920,1925,0,,,,Strobridge Elementary School,1,Bret Harte Middle School,3,Hayward High School,4, Floor Furnace, Other (See Remarks),72,41,46," $1,186,872", Active
house_350,Multi-Family (2-4 Unit),21498 Oak St ,HAYWARD,CA,94546,1225000,—,—," 2,692", 0.1694,1920,1925,0,,,,Strobridge Elementary School,1,Bret Harte Middle School,3,Hayward High School,4, Floor Furnace, Other (See Remarks),72,41,46," $1,186,872", Active
house_351,Single Family Residential,21590 Princeton St ,Hayward,CA,94541,750000,4,2,,,1942,1942,0,, 1,,Cherryland Elementary School,2,Winton Middle School,3,Hayward High School,4,,,58,46,56," $749,935", New
house_352,Single Family Residential,2177 Occidental Rd ,HAYWARD,CA,94545,1790000,4,2," 4,079", 0.6402,1953,1978,0, 7,,,Eden Gardens Elementary School,3,Anthony W. Ochoa Middle School,4,Mount Eden High School,6," Central Forced Air (Gas), Fireplace",,47,42,39," $1,685,200", Active
house_353,Single Family Residential,2177 Occidental Rd ,HAYWARD,CA,94545,1790000,4,2," 4,079", 0.6402,1953,1978,0, 7,,,Eden Gardens Elementary School,3,Anthony W. Ochoa Middle School,4,Mount Eden High School,6," Central Forced Air (Gas), Fireplace",,47,42,39," $1,685,200", Active
house_354,Single Family Residential,2215 Beckham Way ,Hayward,CA,94541,988000,4,3,,,1992,1992,0,, 3,,East Avenue Elementary School,4,Bret Harte Middle School,3,Hayward High School,4,,,34,34,14," $992,121", Active
house_355,Single Family Residential,2215 Beckham Way ,Hayward,CA,94541,988000,4,3,,,1992,1992,0,, 3,,East Avenue Elementary School,4,Bret Harte Middle School,3,Hayward High School,4,,,34,34,14," $992,121", Active
house_356,Single Family Residential,2215 Beckham Way ,Hayward,CA,94541,988000,4,3,,,1992,1992,0,, 3,,East Avenue Elementary School,4,Bret Harte Middle School,3,Hayward High School,4,,,34,34,14," $992,121", Active
house_357,Condo/Co-op,222 Span Ct Lot 290 ,Hayward,CA,94544,767990,2,2,,,—,—,375,, 2,,Treeview Elementary,2,Cesar Chavez Middle School,2,Tennyson High School,2,,,60,52,39," $763,805", Active
house_358,Condo/Co-op,222 Span Ct Lot 290 ,Hayward,CA,94544,767990,2,2,,,—,—,375,, 2,,Treeview Elementary,2,Cesar Chavez Middle School,2,Tennyson High School,2,,,60,52,39," $763,805", Active
house_359,Single Family Residential,22592 Pearl Ave ,Hayward,CA,94541,820000,3,3,,,1947,1974,0,,,,Fairview Elementary School,4,Bret Harte Middle School,3,Hayward High School,4,,,61,39,62," $805,693", Active
house_360,Single Family Residential,22592 Pearl Ave ,Hayward,CA,94541,820000,3,3,,,1947,1974,0,,,,Fairview Elementary School,4,Bret Harte Middle School,3,Hayward High School,4,,,61,39,62," $805,693", Active
house_361,Single Family Residential,22604 Mossy Rock Dr ,Hayward,CA,94541,695000,3,2,,,1979,1980,0,, 2,,Fairview Elementary School,4,Bret Harte Middle School,3,Hayward High School,4,,,9,28,10," $761,568", New
house_362,Single Family Residential,22604 Mossy Rock Dr ,Hayward,CA,94541,695000,3,2,,,1979,1980,0,, 2,,Fairview Elementary School,4,Bret Harte Middle School,3,Hayward High School,4,,,9,28,10," $761,568", New
house_363,Single Family Residential,22604 Mossy Rock Dr ,Hayward,CA,94541,695000,3,2,,,1979,1980,0,, 2,,Fairview Elementary School,4,Bret Harte Middle School,3,Hayward High School,4,,,9,28,10," $761,568", New
house_364,Single Family Residential,22632 Northview Dr ,Hayward,CA,94541,549900,3,2,,,1963,1971,0,, 2,,Fairview Elementary School,4,Bret Harte Middle School,3,Hayward High School,4,,,9,28,10," $567,286", Price Change-REO
house_365,Single Family Residential,22632 Northview Dr ,Hayward,CA,94541,549900,3,2,,,1963,1971,0,, 2,,Fairview Elementary School,4,Bret Harte Middle School,3,Hayward High School,4,,,9,28,10," $567,286", Price Change-REO
house_366,Single Family Residential,22632 Northview Dr ,Hayward,CA,94541,549900,3,2,,,1963,1971,0,, 2,,Fairview Elementary School,4,Bret Harte Middle School,3,Hayward High School,4,,,9,28,10," $567,286", Price Change-REO
house_367,Single Family Residential,22742 Inyo St ,Hayward,CA,94541,400000,2,1,,,1940,1940,0,, 2,,Burbank Elementary School,4,Winton Middle School,3,Hayward High School,4,,,67,53,67," $419,837", New
house_368,Single Family Residential,23223 Lori Way ,Hayward,CA,94541-3503,747000,4,2,,,1978,1980,0,, 2,,Fairview Elementary School,4,Bret Harte Middle School,3,Hayward High School,4,,,7,24,5," $765,970", Active
house_369,Single Family Residential,23223 Lori Way ,Hayward,CA,94541-3503,747000,4,2,,,1978,1980,0,, 2,,Fairview Elementary School,4,Bret Harte Middle School,3,Hayward High School,4,,,7,24,5," $765,970", Active
house_370,Single Family Residential,23223 Lori Way ,Hayward,CA,94541-3503,747000,4,2,,,1978,1980,0,, 2,,Fairview Elementary School,4,Bret Harte Middle School,3,Hayward High School,4,,,7,24,5," $765,970", Active
house_371,Multi-Family (2-4 Unit),24065 Dotson Ct ,Hayward,CA,94544,738000,—,—,,,1952,1952,0, 2,,,Burbank Elementary School,4,Winton Middle School,3,Hayward High School,4,,,83,59,66," $738,862", New
house_372,Single Family Residential,24195 Eden Ave ,Hayward,CA,94545,890000,4,3,,,2017,2017,188,, 2,,Eden Gardens Elementary School,3,Anthony W. Ochoa Middle School,4,Mount Eden High School,6,,,55,42,46," $910,527", New
house_373,Single Family Residential,24195 Eden Ave ,Hayward,CA,94545,890000,4,3,,,2017,2017,188,, 2,,Eden Gardens Elementary School,3,Anthony W. Ochoa Middle School,4,Mount Eden High School,6,,,55,42,46," $910,527", New
house_374,Single Family Residential,24195 Eden Ave ,Hayward,CA,94545,890000,4,3,,,2017,2017,188,, 2,,Eden Gardens Elementary School,3,Anthony W. Ochoa Middle School,4,Mount Eden High School,6,,,55,42,46," $910,527", New
house_375,Other,24290 Park St ,Hayward,CA,94544-1424,377000,—,—,,,—,—,0,,,,Park Elementary School,3,Winton Middle School,3,Mount Eden High School,6,,,77,57,63," $348,906", Active
house_376,Other,24290 Park St ,Hayward,CA,94544-1424,377000,—,—,,,—,—,0,,,,Park Elementary School,3,Winton Middle School,3,Mount Eden High School,6,,,77,57,63," $348,906", Active
house_377,Condo/Co-op,2437 Saint Helena Dr #4 ,Hayward,CA,94542,475000,2,1,,,1985,1985,390,, 2,,Stonebrae Elementary School,4,Bret Harte Middle School,3,Hayward High School,4,,,58,31,30," $489,699", New
house_378,Condo/Co-op,2437 Saint Helena Dr #4 ,Hayward,CA,94542,475000,2,1,,,1985,1985,390,, 2,,Stonebrae Elementary School,4,Bret Harte Middle School,3,Hayward High School,4,,,58,31,30," $489,699", New
house_379,Condo/Co-op,2437 Saint Helena Dr #4 ,Hayward,CA,94542,475000,2,1,,,1985,1985,390,, 2,,Stonebrae Elementary School,4,Bret Harte Middle School,3,Hayward High School,4,,,58,31,30," $489,699", New
house_380,Other,24412 Karina St ,Hayward,CA,94542,429900,—,—,,,—,—,152,,,,Fairview Elementary School,4,Bret Harte Middle School,3,Hayward High School,4,,,9,23,6," $405,370", Active
house_381,Other,24412 Karina St ,Hayward,CA,94542,429900,—,—,,,—,—,152,,,,Fairview Elementary School,4,Bret Harte Middle School,3,Hayward High School,4,,,9,23,6," $405,370", Active
house_382,Single Family Residential,24499 Machado ,Hayward,CA,94541,1200000,4,2,,,1986,1986,7,,,,Fairview Elementary School,4,Bret Harte Middle School,3,Hayward High School,4,,,5,23,5," $1,195,276", Active
house_383,Single Family Residential,24499 Machado ,Hayward,CA,94541,1200000,4,2,,,1986,1986,7,,,,Fairview Elementary School,4,Bret Harte Middle School,3,Hayward High School,4,,,5,23,5," $1,195,276", Active
house_384,Single Family Residential,24499 Machado ,Hayward,CA,94541,1200000,4,2,,,1986,1986,7,,,,Fairview Elementary School,4,Bret Harte Middle School,3,Hayward High School,4,,,5,23,5," $1,195,276", Active
house_385,Single Family Residential,24588 Fairview Ave ,Hayward,CA,94542,549000,3,1,,,1954,1959,0,, 1,,Fairview Elementary School,4,Bret Harte Middle School,3,Hayward High School,4,,,15,28,12," $576,128", New
house_386,Single Family Residential,24830 Fairview Ave ,Hayward,CA,94588,4900000,—,—,,,1951,1951,0,,,,Fairview Elementary School,4,Bret Harte Middle School,3,Hayward High School,4,,,9,25,7," $3,700,682", Active
house_387,Single Family Residential,24962 Willimet Way ,Hayward,CA,94544,695000,3,2,,,1958,1959,0,,,,Park Elementary School,3,Winton Middle School,3,Mount Eden High School,6,,,63,37,53," $693,614", Active
house_388,Single Family Residential,24979 Pleasant Way ,Hayward,CA,94544,375000,—,—,,,1925,1925,0,,,,Park Elementary School,3,Winton Middle School,3,Mount Eden High School,6,,,45,38,52," $374,077", Active
house_389,Single Family Residential,24979 Pleasant Way ,Hayward,CA,94544,375000,—,—,,,1925,1925,0,,,,Park Elementary School,3,Winton Middle School,3,Mount Eden High School,6,,,45,38,52," $374,077", Active
house_390,Single Family Residential,24979 Pleasant Way ,Hayward,CA,94544,375000,—,—,,,1925,1925,0,,,,Park Elementary School,3,Winton Middle School,3,Mount Eden High School,6,,,45,38,52," $374,077", Active
house_391,Single Family Residential,25024 Fairview Ave ,Hayward,CA,94542,425000,—,—,,,1958,1965,0,,,,Fairview Elementary School,4,Bret Harte Middle School,3,Hayward High School,4,,,3,24,7," $412,591", Active
house_392,Single Family Residential,25024 Fairview Ave ,Hayward,CA,94542,425000,—,—,,,1958,1965,0,,,,Fairview Elementary School,4,Bret Harte Middle School,3,Hayward High School,4,,,3,24,7," $412,591", Active
house_393,Single Family Residential,2527 Spindrift Cir ,Hayward,CA,94545,1368000,5,3,,,2005,2005,35,, 2,,Lorin A. Eden Elementary School,3,Anthony W. Ochoa Middle School,4,Mount Eden High School,6,,,3,31,36," $1,362,025", Active
house_394,Single Family Residential,2527 Spindrift Cir ,Hayward,CA,94545,1368000,5,3,,,2005,2005,35,, 2,,Lorin A. Eden Elementary School,3,Anthony W. Ochoa Middle School,4,Mount Eden High School,6,,,3,31,36," $1,362,025", Active
house_395,Single Family Residential,2527 Spindrift Cir ,Hayward,CA,94545,1368000,5,3,,,2005,2005,35,, 2,,Lorin A. Eden Elementary School,3,Anthony W. Ochoa Middle School,4,Mount Eden High School,6,,,3,31,36," $1,365,963", Active
house_396,Multi-Family (2-4 Unit),25341 Parklane Dr ,HAYWARD,CA,94544,679950,2,2," 1,445", 0.0164,—,—,330,, 2,,Stonebrae Elementary School,4,Bret Harte Middle School,3,Hayward High School,4," Central Forced Air (Gas), Solar and Gas"," Central Forced Air, Multi-Zone",67,38,64," $663,990", Active
house_397,Multi-Family (2-4 Unit),25341 Parklane Dr ,HAYWARD,CA,94544,679950,2,2," 1,445", 0.0164,—,—,330,, 2,,Stonebrae Elementary School,4,Bret Harte Middle School,3,Hayward High School,4," Central Forced Air (Gas), Solar and Gas"," Central Forced Air, Multi-Zone",67,38,64," $663,990", Active
house_398,Condo/Co-op,25411 Parklane Dr ,HAYWARD,CA,94544,739950,4,3," 1,909",,—,—,310,, 2,,,,,,,, Central Forced Air (Gas)," Central Forced Air, Multi-Zone",58,38,60,, Active
house_399,Condo/Co-op,25411 Parklane Dr ,HAYWARD,CA,94544,739950,4,3," 1,909",,—,—,310,, 2,,,,,,,, Central Forced Air (Gas)," Central Forced Air, Multi-Zone",58,38,60,, Active
house_400,Condo/Co-op,25417 Parklane Dr ,HAYWARD,CA,94544,823950,4,3," 2,184", 0.02,—,—,330,, 2,,,,,,,," Central Forced Air (Gas), Solar and Gas"," Central Forced Air, Multi-Zone",58,38,60,, Active
house_401,Condo/Co-op,25417 Parklane Dr ,HAYWARD,CA,94544,823950,4,3," 2,184", 0.02,—,—,330,, 2,,,,,,,," Central Forced Air (Gas), Solar and Gas"," Central Forced Air, Multi-Zone",58,38,60,, Active
house_402,Townhouse,25439 Parklane Dr ,HAYWARD,CA,94544,689950,2,2," 1,445", 0.0164,—,—,310,, 2,,,,,,,," Central Forced Air (Gas), Heating (2+ Zones), Solar and Gas"," Central Forced Air, Multi-Zone",58,38,60,, Active
house_403,Single Family Residential,25472 Modoc Ct ,Hayward,CA,94542,848000,4,3,,,1996,1997,0,, 2,,Stonebrae Elementary School,4,Bret Harte Middle School,3,Hayward High School,4,,,19,37,15," $851,130", New
house_404,Single Family Residential,257 Smalley Ave ,Hayward,CA,94541,695000,3,2,,,1910,1922,0,,,,Burbank Elementary School,4,Winton Middle School,3,Hayward High School,4,,,72,56,73," $689,361", Active
house_405,Single Family Residential,257 Smalley Ave ,Hayward,CA,94541,695000,3,2,,,1910,1922,0,,,,Burbank Elementary School,4,Winton Middle School,3,Hayward High School,4,,,72,56,73," $689,361", Active
house_406,Single Family Residential,257 Smalley Ave ,Hayward,CA,94541,695000,3,2,,,1910,1922,0,,,,Burbank Elementary School,4,Winton Middle School,3,Hayward High School,4,,,72,56,73," $689,361", Active
house_407,Condo/Co-op,25714 Spring Dr ,Hayward,CA,94542,424950,2,2,,,1967,1967,180,,,,Stonebrae Elementary School,4,Bret Harte Middle School,3,Hayward High School,4,,,57,40,31," $442,998", New
house_408,Single Family Residential,25855 Huntwood Ave ,Hayward,CA,94544,540000,2,1,,,1950,1971,0,, 1,,Schafer Park Elementary School,5,"Martin Luther King, Jr. Middle School",6,Tennyson High School,2,,,65,33,65," $561,702", Active
house_409,Condo/Co-op,25930 Kay Ave #202 ,Hayward,CA,94545,490000,2,2,,,1982,1982,455,, 1,,Eden Gardens Elementary School,3,Anthony W. Ochoa Middle School,4,Mount Eden High School,6,,,52,42,63," $490,356", New
house_410,Condo/Co-op,25930 Kay Ave #202 ,Hayward,CA,94545,490000,2,2,,,1982,1982,455,, 1,,Eden Gardens Elementary School,3,Anthony W. Ochoa Middle School,4,Mount Eden High School,6,,,52,42,63," $490,356", New
house_411,Condo/Co-op,25930 Kay Ave #202 ,Hayward,CA,94545,490000,2,2,,,1982,1982,455,, 1,,Eden Gardens Elementary School,3,Anthony W. Ochoa Middle School,4,Mount Eden High School,6,,,52,42,63," $490,356", New
house_412,Condo/Co-op,260 Sunset Blvd #39 ,Hayward,CA,94541,399950,2,1,,,1981,1981,330,, 2,,Cherryland Elementary School,2,Winton Middle School,3,Hayward High School,4,,,49,48,56," $400,347", New
house_413,Condo/Co-op,260 Sunset Blvd #39 ,Hayward,CA,94541,399950,2,1,,,1981,1981,330,, 2,,Cherryland Elementary School,2,Winton Middle School,3,Hayward High School,4,,,49,48,56," $400,347", New
house_414,Condo/Co-op,260 Sunset Blvd #39 ,Hayward,CA,94541,399950,2,1,,,1981,1981,330,, 2,,Cherryland Elementary School,2,Winton Middle School,3,Hayward High School,4,,,49,48,56," $400,347", New
house_415,Single Family Residential,26045 Coleman Ave ,Hayward,CA,94544,499950,3,2,,,1953,1954,0,, 2,,Glassbrook Elementary School,2,"Martin Luther King, Jr. Middle School",6,Tennyson High School,2,,,45,33,58," $542,173", Back On Market
house_416,Single Family Residential,26045 Coleman Ave ,Hayward,CA,94544,499950,3,2,,,1953,1954,0,, 2,,Glassbrook Elementary School,2,"Martin Luther King, Jr. Middle School",6,Tennyson High School,2,,,45,33,58," $542,173", Back On Market
house_417,Single Family Residential,26045 Coleman Ave ,Hayward,CA,94544,499950,3,2,,,1953,1954,0,, 2,,Glassbrook Elementary School,2,"Martin Luther King, Jr. Middle School",6,Tennyson High School,2,,,45,33,58," $542,173", Back On Market
house_418,Single Family Residential,26520 Fairview Ave ,Hayward,CA,94542-1436,2995000,—,—,,,—,—,0,,,,Palomares Elementary School,9,Canyon Middle School,7,Castro Valley High School,9,,,1,0,6," $2,779,365", Active
house_419,Single Family Residential,26520 Fairview Ave ,Hayward,CA,94542-1436,2995000,—,—,,,—,—,0,,,,Palomares Elementary School,9,Canyon Middle School,7,Castro Valley High School,9,,,1,0,6," $2,779,365", Active
house_420,Single Family Residential,26565 joshua ,HAYWARD,CA,94544,699950,3,2," 1,093", 0.0971,1981,1982,0,, 2,,Bowman Elementary School,2,Cesar Chavez Middle School,2,Tennyson High School,2, Central Forced Air,,50,35,61," $699,908", Active
house_421,Condo/Co-op,26581 Mission Blvd ,Hayward,CA,94544,759000,4,3,,,—,—,400,, 2,,Bowman Elementary School,2,Cesar Chavez Middle School,2,Tennyson High School,2,,,73,38,66," $765,354", Price Change
house_422,Single Family Residential,266 Carrick Cir ,HAYWARD,CA,94542,1449950,5,4," 4,434", 0.1496,2008,2008,190,, 3,,Stonebrae Elementary School,4,Bret Harte Middle School,3,Hayward High School,4, Central Forced Air (Gas), Central Forced Air,2,18,11," $1,434,539", Active
house_423,Condo/Co-op,26629 Mission Blvd ,Hayward,CA,94544,714000,3,2,,,—,—,400,, 2,,Bowman Elementary School,2,Cesar Chavez Middle School,2,Tennyson High School,2,,,67,37,63," $717,226", Price Change
house_424,Condo/Co-op,26629 Mission Blvd ,Hayward,CA,94544,714000,3,2,,,—,—,400,, 2,,Bowman Elementary School,2,Cesar Chavez Middle School,2,Tennyson High School,2,,,67,37,63," $717,226", Price Change
house_425,Condo/Co-op,26629 Mission Blvd ,Hayward,CA,94544,714000,3,2,,,—,—,400,, 2,,Bowman Elementary School,2,Cesar Chavez Middle School,2,Tennyson High School,2,,,67,37,63," $717,226", Price Change
house_426,Vacant Land,26670 Parkside Dr ,Hayward,CA,94542,199950,—,—,,,—,—,0,,,,Stonebrae Elementary School,4,Bret Harte Middle School,3,Hayward High School,4,,,37,27,23," $183,692", Active
house_427,Vacant Land,26670 Parkside Dr ,Hayward,CA,94542,199950,—,—,,,—,—,0,,,,Stonebrae Elementary School,4,Bret Harte Middle School,3,Hayward High School,4,,,37,27,23," $183,692", Active
house_428,Single Family Residential,26914 Lakewood Way ,HAYWARD,CA,94544,640000,3,2," 1,621", 0.1156,1953,1953,0,, 2,,Eldridge Elementary School,5,"Martin Luther King, Jr. Middle School",6,Tennyson High School,2," Forced Air, Gas", Ceiling Fan,56,36,54," $646,316", Active
house_429,Single Family Residential,26914 Lakewood Way ,HAYWARD,CA,94544,640000,3,2," 1,621", 0.1156,1953,1953,0,, 2,,Eldridge Elementary School,5,"Martin Luther King, Jr. Middle School",6,Tennyson High School,2," Forced Air, Gas", Ceiling Fan,56,36,54," $646,316", Active
house_430,Single Family Residential,26914 Lakewood Way ,HAYWARD,CA,94544,640000,3,2," 1,621", 0.1156,1953,1953,0,, 2,,Eldridge Elementary School,5,"Martin Luther King, Jr. Middle School",6,Tennyson High School,2," Forced Air, Gas", Ceiling Fan,56,36,54," $646,316", Active
house_431,Vacant Land,27355 Dobbel Ave ,Hayward,CA,94542,298000,—,—,,,—,—,0,,,,Stonebrae Elementary School,4,Bret Harte Middle School,3,Hayward High School,4,,,55,31,28," $296,940", Active
house_432,Single Family Residential,27361 Dobbel ,Hayward,CA,94542,328000,—,—,,,—,—,0,,,,Stonebrae Elementary School,4,Bret Harte Middle School,3,Hayward High School,4,,,55,31,28," $323,082", Active
house_433,Single Family Residential,27361 Dobbel ,Hayward,CA,94542,328000,—,—,,,—,—,0,,,,Stonebrae Elementary School,4,Bret Harte Middle School,3,Hayward High School,4,,,55,31,28," $323,082", Active
